Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Pixar,2023-12-21 20:28:22,00:00:07,Autoplayed: user action: None; ,Black Money Love: Season 1_hook_01_16x9,HOOK,iPhone 12 Pro,00:00:07,00:00:07,PL (Poland)
Pixar,2023-12-21 20:19:18,00:00:05,Autoplayed: user action: None; ,Sezon 3 (Klip): Krawiec,HOOK,iPhone 12 Pro,00:00:06,Not latest view,PL (Poland)
Pixar,2023-11-05 23:38:15,00:22:16,,Krawiec: Sezon 3: Odcinek 8 (Odcinek 8),,Google Chromecast V5 Streaming Stick,00:25:07,Not latest view,PL (Poland)
Pixar,2023-11-05 23:08:49,00:28:51,,Krawiec: Sezon 3: Odcinek 7 (Odcinek 7),,Google Chromecast V5 Streaming Stick,00:36:13,00:36:13,PL (Poland)
Pixar,2023-11-05 22:50:11,00:17:12,,Krawiec: Sezon 3: Odcinek 6 (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:37:36,00:37:36,PL (Poland)
Pixar,2023-11-05 22:24:19,00:25:08,,Krawiec: Sezon 3: Odcinek 5 (Odcinek 5),,Google Chromecast V5 Streaming Stick,00:31:07,00:31:07,PL (Poland)
Pixar,2023-11-05 21:56:30,00:26:12,,Krawiec: Sezon 3: Odcinek 4 (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:41:27,00:41:27,PL (Poland)
Pixar,2023-11-05 21:56:10,00:00:14,,Krawiec: Sezon 3: Odcinek 1 (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:02:14,00:02:14,PL (Poland)
Pixar,2023-11-05 21:53:50,00:02:01,,Krawiec: Sezon 3: Odcinek 4 (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:02:01,Not latest view,PL (Poland)
Pixar,2023-11-05 21:21:03,00:32:40,,Krawiec: Sezon 3: Odcinek 3 (Odcinek 3),,Google Chromecast V5 Streaming Stick,00:32:40,00:32:40,PL (Poland)
Pixar,2023-11-05 20:40:19,00:40:35,,Krawiec: Sezon 3: Odcinek 2 (Odcinek 2),,Google Chromecast V5 Streaming Stick,00:40:35,00:40:35,PL (Poland)
Pixar,2023-11-05 20:12:42,00:27:29,,Krawiec: Sezon 3: Odcinek 1 (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:27:29,Not latest view,PL (Poland)
Pixar,2023-11-05 20:08:48,00:00:22,,Krawiec: Sezon 3: Odcinek 1 (Odcinek 1),,iPhone 12 Pro,00:00:22,Not latest view,PL (Poland)
Pixar,2023-08-21 20:42:19,00:03:08,,Misja Stone,,Apple iPhone X (GSM),00:03:08,00:03:08,PL (Poland)
Pixar,2023-08-18 01:11:37,00:34:52,,Krawiec: Sezon 2: Odcinek 8 (Odcinek 8),,Google Chromecast V5 Streaming Stick,00:34:52,00:34:52,PL (Poland)
Pixar,2023-08-18 00:35:34,00:35:55,,Krawiec: Sezon 2: Odcinek 7 (Odcinek 7),,Google Chromecast V5 Streaming Stick,00:35:55,00:35:55,PL (Poland)
Pixar,2023-08-17 23:54:47,00:40:03,,Krawiec: Sezon 2: Odcinek 6 (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:41:06,00:41:06,PL (Poland)
Pixar,2023-08-17 23:19:04,00:35:20,,Krawiec: Sezon 2: Odcinek 5 (Odcinek 5),,Google Chromecast V5 Streaming Stick,00:35:20,00:35:20,PL (Poland)
Pixar,2023-08-17 22:50:35,00:28:21,,Krawiec: Sezon 2: Odcinek 4 (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:28:21,00:28:21,PL (Poland)
Pixar,2023-08-17 22:06:59,00:43:28,,Krawiec: Sezon 2: Odcinek 3 (Odcinek 3),,Google Chromecast V5 Streaming Stick,00:43:28,00:43:28,PL (Poland)
Pixar,2023-08-17 21:49:48,00:17:03,,Krawiec: Sezon 2: Odcinek 2 (Odcinek 2),,Google Chromecast V5 Streaming Stick,00:36:21,00:36:21,PL (Poland)
Pixar,2023-08-17 17:59:24,00:17:03,,Krawiec: Sezon 2: Odcinek 2 (Odcinek 2),,Apple iPhone X (GSM),00:19:19,Not latest view,PL (Poland)
Pixar,2023-08-17 17:54:25,00:03:26,,Krawiec: Sezon 2: Odcinek 1 (Odcinek 1),,Apple iPhone X (GSM),00:28:40,00:28:40,PL (Poland)
Pixar,2023-08-17 12:56:48,00:15:45,,Krawiec: Sezon 2: Odcinek 1 (Odcinek 1),,Apple iPhone X (GSM),00:23:23,Not latest view,PL (Poland)
Pixar,2023-08-17 12:56:15,00:00:19,,Krawiec: Sezon 1: Odcinek 1 (Odcinek 1),,Apple iPhone X (GSM),00:00:20,00:00:20,PL (Poland)
Pixar,2023-01-29 19:27:51,00:00:05,,The Crown: Sezon 1: Wolferton Splash (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:04:11,00:04:11,PL (Poland)
Pixar,2023-01-29 19:27:21,00:00:12,,The Crown: Sezon 1: Wolferton Splash (Odcinek 1),,DefaultWidevineAndroidPhone,00:04:06,Not latest view,PL (Poland)
Pixar,2023-01-29 19:21:16,00:03:55,,The Crown: Sezon 1: Wolferton Splash (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:03:55,Not latest view,PL (Poland)
Pixar,2023-01-29 19:20:50,00:00:06,,The Crown: Sezon 1: Wolferton Splash (Odcinek 1),,DefaultWidevineAndroidPhone,00:00:06,Not latest view,PL (Poland)
Pixar,2022-12-24 17:43:57,00:00:03,Autoplayed: user action: None; ,Hunter X Hunter (2011): Sezon 1: Odejście x i x przyjaciele (Odcinek 1),,TCL TV 2018 UHD Android TV Smart TV,00:00:03,00:00:03,PL (Poland)
Pixar,2022-12-04 01:24:14,00:00:06,,Breaking Bad: Sezon 1: Gray Matter (Odcinek 5),,Google Chromecast V5 Streaming Stick,00:00:06,00:00:06,PL (Poland)
Pixar,2022-12-04 00:36:11,00:47:26,,Breaking Bad: Sezon 1: Rak (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:47:32,00:47:32,PL (Poland)
Pixar,2022-12-03 23:48:34,00:47:29,,Breaking Bad: Sezon 1: I nie ma ptaszka (Odcinek 3),,Google Chromecast V5 Streaming Stick,00:47:29,00:47:29,PL (Poland)
Pixar,2022-12-03 23:00:51,00:47:35,,Breaking Bad: Sezon 1: Ptaszek w klatce (Odcinek 2),,Google Chromecast V5 Streaming Stick,00:47:35,00:47:35,PL (Poland)
Pixar,2022-12-03 22:03:23,00:57:20,,Breaking Bad: Sezon 1: Pilot (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:57:20,00:57:20,PL (Poland)
Pixar,2022-12-03 22:02:02,00:01:13,,Breaking Bad: Sezon 2: Upadek (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:01:13,00:01:13,PL (Poland)
Pixar,2022-04-16 18:16:19,00:15:28,,Dom z papieru: Część 4: Wesele Berlina (Odcinek 2),,Google Chromecast V5 Streaming Stick,00:16:21,00:16:21,PL (Poland)
Pixar,2022-04-16 18:15:43,00:00:11,,Dom z papieru: Część 4: Wesele Berlina (Odcinek 2),,Apple iPhone X (GSM),00:00:12,Not latest view,PL (Poland)
Pixar,2022-04-16 18:15:17,00:00:05,,Dom z papieru: Część 1: Odcinek 2 (Odcinek 2),,Apple iPhone X (GSM),00:05:47,00:05:47,PL (Poland)
Pixar,2021-11-13 18:42:55,00:00:32,,Snajper: Koniec zabójcy,,Apple iPhone X (GSM),00:00:32,00:00:32,PL (Poland)
Pixar,2021-10-31 23:25:09,00:51:17,,Squid Game: Sezon 1: Szczęśliwy dzień (Odcinek 9),,Google Chromecast V5 Streaming Stick,00:51:17,00:51:17,PL (Poland)
Pixar,2021-10-31 22:56:33,00:28:07,,Squid Game: Sezon 1: Lider (Odcinek 8),,Google Chromecast V5 Streaming Stick,00:28:07,00:28:07,PL (Poland)
Pixar,2021-10-31 22:02:47,00:53:40,,Squid Game: Sezon 1: Szychy (Odcinek 7),,Google Chromecast V5 Streaming Stick,00:53:40,00:53:40,PL (Poland)
Pixar,2021-10-31 21:05:20,00:57:19,,Squid Game: Sezon 1: Gganbu (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:57:19,00:57:19,PL (Poland)
Pixar,2021-10-31 20:46:15,00:18:40,,Squid Game: Sezon 1: Sprawiedliwy świat (Odcinek 5),,Google Chromecast V5 Streaming Stick,00:47:12,00:47:12,PL (Poland)
Pixar,2021-10-31 20:21:10,00:00:51,,Squid Game: Sezon 1: Sprawiedliwy świat (Odcinek 5),,Apple iPhone X (GSM),00:16:31,Not latest view,PL (Poland)
Pixar,2021-10-31 02:22:45,00:02:00,,Squid Game: Sezon 1: Lider (Odcinek 8),,Google Chromecast V5 Streaming Stick,00:02:00,Not latest view,PL (Poland)
Pixar,2021-10-31 01:28:57,00:53:39,,Squid Game: Sezon 1: Szychy (Odcinek 7),,Google Chromecast V5 Streaming Stick,00:53:39,Not latest view,PL (Poland)
Pixar,2021-10-31 00:31:31,00:57:19,,Squid Game: Sezon 1: Gganbu (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:57:19,Not latest view,PL (Poland)
Pixar,2021-10-30 23:43:57,00:47:13,,Squid Game: Sezon 1: Sprawiedliwy świat (Odcinek 5),,Google Chromecast V5 Streaming Stick,00:47:13,Not latest view,PL (Poland)
Pixar,2021-10-30 22:53:16,00:50:33,,Squid Game: Sezon 1: Jesteśmy drużyną (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:50:33,00:50:33,PL (Poland)
Pixar,2021-10-30 22:03:19,00:49:50,,Squid Game: Sezon 1: Mężczyzna z parasolem (Odcinek 3),,Google Chromecast V5 Streaming Stick,00:49:50,00:49:50,PL (Poland)
Pixar,2021-10-30 21:12:22,00:50:27,,Squid Game: Sezon 1: Piekło (Odcinek 2),,Google Chromecast V5 Streaming Stick,01:02:32,01:02:32,PL (Poland)
Pixar,2021-10-30 20:24:28,00:47:26,,"Squid Game: Sezon 1: Światło czerwone, światło zielone (Odcinek 1)",,Google Chromecast V5 Streaming Stick,00:55:18,00:55:18,PL (Poland)
Pixar,2021-10-30 20:23:49,00:00:16,,"Squid Game: Sezon 1: Światło czerwone, światło zielone (Odcinek 1)",,Apple iPhone X (GSM),00:00:16,Not latest view,PL (Poland)
Pixar,2021-10-30 20:19:49,00:01:28,,Szpital New Amsterdam: Sezon 2: Kwestia sekund (Odcinek 18),,Apple iPhone X (GSM),00:04:26,00:04:26,PL (Poland)
Pixar,2021-10-30 20:16:59,00:00:27,,Szpital New Amsterdam: Sezon 2: Start (Odcinek 17),,Apple iPhone X (GSM),00:14:33,00:14:33,PL (Poland)
Pixar,2021-10-07 23:20:44,00:51:08,,Lucyfer: Sezon 5: Lucyfer! Lucyfer! Lucyfer! (Odcinek 2),,Google Chromecast V5 Streaming Stick,00:51:08,00:51:08,PL (Poland)
Pixar,2021-10-07 22:31:41,00:48:56,,Lucyfer: Sezon 5: Bardzo smutny diabeł (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:50:02,00:50:02,PL (Poland)
Pixar,2021-10-07 22:31:19,00:00:02,,Lucyfer: Sezon 5: Bardzo smutny diabeł (Odcinek 1),,Apple iPhone X (GSM),00:01:09,Not latest view,PL (Poland)
Pixar,2021-10-07 20:23:07,02:05:40,,The Old Guard,,Google Chromecast V5 Streaming Stick,02:05:40,02:05:40,PL (Poland)
Pixar,2021-10-07 20:22:40,00:00:09,,The Old Guard,,Apple iPhone X (GSM),00:00:09,Not latest view,PL (Poland)
Pixar,2021-10-07 20:08:54,00:14:06,,Szpital New Amsterdam: Sezon 2: Start (Odcinek 17),,Google Chromecast V5 Streaming Stick,00:14:06,Not latest view,PL (Poland)
Pixar,2021-10-07 20:08:09,00:00:23,,Szpital New Amsterdam: Sezon 2: Start (Odcinek 17),,Apple iPhone X (GSM),00:00:23,Not latest view,PL (Poland)
Pixar,2021-03-28 21:21:25,01:12:42,,Hejter,,Google Chromecast V5 Streaming Stick,02:08:24,02:08:24,PL (Poland)
Pixar,2021-03-28 20:49:30,00:02:09,,Hejter,,Apple iPhone X (GSM),00:02:09,Not latest view,PL (Poland)
Pixar,2021-03-24 23:19:23,00:25:59,,Lupin: Część 1: Rozdział 1 (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:25:59,00:25:59,PL (Poland)
Pixar,2021-03-23 22:50:30,02:05:59,,Strzelec,,Google Chromecast V5 Streaming Stick,02:06:48,02:06:48,PL (Poland)
Pixar,2021-03-23 21:12:53,01:33:19,,Snajper: Ostatni strzał,,Google Chromecast V5 Streaming Stick,01:33:19,01:33:19,PL (Poland)
Pixar,2021-03-23 21:09:22,00:00:26,,Jack Reacher: Jednym strzałem,,Apple iPhone X (GSM),00:00:26,00:00:26,PL (Poland)
Pixar,2021-03-23 19:34:47,00:00:59,,Strzelec,,Apple iPhone X (GSM),00:00:49,Not latest view,PL (Poland)
Pixar,2021-03-23 17:58:40,00:00:06,,Bodyguard: Sezon 1: Odcinek 1 (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:00:06,00:00:06,PL (Poland)
Pixar,2021-03-23 17:57:25,00:01:07,,Lucyfer: Sezon 5: Bardzo smutny diabeł (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:01:07,Not latest view,PL (Poland)
Pixar,2021-03-23 17:56:08,00:01:08,,Lucyfer: Sezon 1: Pilot (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:01:08,00:01:08,PL (Poland)
Pixar,2021-03-23 16:50:26,00:41:20,,Strzelec: Sezon 3: Czerwone światło (Odcinek 13),,Google Chromecast V5 Streaming Stick,00:43:02,00:43:02,PL (Poland)
Pixar,2021-03-23 16:43:48,00:05:57,,Strzelec: Sezon 3: Święty patron (Odcinek 12),,Google Chromecast V5 Streaming Stick,00:41:55,00:41:55,PL (Poland)
Pixar,2021-03-23 16:43:19,00:00:09,,Strzelec: Sezon 3: Święty patron (Odcinek 12),,Apple iPhone X (GSM),00:05:55,Not latest view,PL (Poland)
Pixar,2021-03-23 01:05:26,00:38:27,,Strzelec: Sezon 3: Święty patron (Odcinek 12),,Google Chromecast V5 Streaming Stick,00:39:31,Not latest view,PL (Poland)
Pixar,2021-03-23 00:24:36,00:40:41,,Strzelec: Sezon 3: Pożar w rodzinie (Odcinek 11),,Google Chromecast V5 Streaming Stick,00:41:53,00:41:53,PL (Poland)
Pixar,2021-03-22 23:43:51,00:40:37,,Strzelec: Sezon 3: Dzień orientacji (Odcinek 10),,Google Chromecast V5 Streaming Stick,00:41:48,00:41:48,PL (Poland)
Pixar,2021-03-22 23:03:40,00:39:52,,Strzelec: Sezon 3: Pies Alfa (Odcinek 9),,Google Chromecast V5 Streaming Stick,00:41:28,00:41:28,PL (Poland)
Pixar,2021-03-22 22:22:41,00:40:52,,Strzelec: Sezon 3: Czerwona odznaka (Odcinek 8),,Google Chromecast V5 Streaming Stick,00:41:56,00:41:56,PL (Poland)
Pixar,2021-03-22 21:42:32,00:40:01,,Strzelec: Sezon 3: Decydujący głos (Odcinek 7),,Google Chromecast V5 Streaming Stick,00:41:37,00:41:37,PL (Poland)
Pixar,2021-03-22 21:02:10,00:40:15,,Strzelec: Sezon 3: Przekroczone granice (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:41:15,00:41:15,PL (Poland)
Pixar,2021-03-22 21:01:49,00:00:09,,Strzelec: Sezon 3: Przekroczone granice (Odcinek 6),,Apple iPhone X (GSM),00:00:09,Not latest view,PL (Poland)
Pixar,2021-03-22 18:20:07,00:00:01,,Strzelec: Sezon 3: Przekroczone granice (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:01:01,Not latest view,PL (Poland)
Pixar,2021-03-22 17:39:49,00:40:11,,Strzelec: Sezon 3: Wezwanie do broni (Odcinek 5),,Google Chromecast V5 Streaming Stick,00:41:25,00:41:25,PL (Poland)
Pixar,2021-03-22 17:00:48,00:38:52,,Strzelec: Sezon 3: Istota służby (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:41:56,00:41:56,PL (Poland)
Pixar,2021-03-22 17:00:03,00:00:03,,Strzelec: Sezon 3: Istota służby (Odcinek 4),,Apple iPhone X (GSM),00:03:08,Not latest view,PL (Poland)
Pixar,2021-03-22 00:10:16,00:02:01,,Strzelec: Sezon 3: Istota służby (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:03:05,Not latest view,PL (Poland)
Pixar,2021-03-21 23:31:05,00:39:04,,Strzelec: Sezon 3: Grzechy ojca (Odcinek 3),,Google Chromecast V5 Streaming Stick,00:40:18,00:40:18,PL (Poland)
Pixar,2021-03-21 22:49:51,00:41:06,,Strzelec: Sezon 3: Czerwone mięso (Odcinek 2),,Google Chromecast V5 Streaming Stick,00:41:56,00:41:56,PL (Poland)
Pixar,2021-03-21 22:11:44,00:37:57,,Strzelec: Sezon 3: Boczne drogi (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:41:49,00:41:49,PL (Poland)
Pixar,2021-03-21 22:10:49,00:00:49,,Strzelec: Sezon 2: To będzie dzień (Odcinek 8),,Google Chromecast V5 Streaming Stick,00:14:16,00:14:16,PL (Poland)
Pixar,2021-03-21 22:10:35,00:00:04,,Strzelec: Sezon 2: To będzie dzień (Odcinek 8),,Apple iPhone X (GSM),00:13:32,Not latest view,PL (Poland)
Pixar,2021-03-21 22:08:12,00:02:00,,Strzelec: Sezon 3: Boczne drogi (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:03:53,Not latest view,PL (Poland)
Pixar,2021-03-21 21:27:47,00:40:18,,Strzelec: Sezon 2: To będzie dzień (Odcinek 8),,Google Chromecast V5 Streaming Stick,00:41:36,Not latest view,PL (Poland)
Pixar,2021-03-21 20:46:53,00:40:48,,Strzelec: Sezon 2: Gdzieś jak w Boliwii (Odcinek 7),,Google Chromecast V5 Streaming Stick,00:41:56,00:41:56,PL (Poland)
Pixar,2021-03-21 20:06:06,00:40:39,,Strzelec: Sezon 2: Przez Rio Grande (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:41:53,00:41:53,PL (Poland)
Pixar,2021-03-21 20:05:44,00:00:01,,Strzelec: Sezon 2: Przez Rio Grande (Odcinek 6),,Apple iPhone X (GSM),00:00:02,Not latest view,PL (Poland)
Pixar,2021-03-21 16:32:29,00:00:02,,Strzelec: Sezon 2: Przez Rio Grande (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:01:16,Not latest view,PL (Poland)
Pixar,2021-03-21 15:51:51,00:40:11,,Strzelec: Sezon 2: Snajper widmo (Odcinek 5),,Google Chromecast V5 Streaming Stick,00:41:53,00:41:53,PL (Poland)
Pixar,2021-03-21 15:11:33,00:40:10,,Strzelec: Sezon 2: Ciemny zaułek (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:41:37,00:41:37,PL (Poland)
Pixar,2021-03-21 14:31:05,00:40:19,,Strzelec: Sezon 2: Nie zadzieraj z Teksasem (Odcinek 3),,Google Chromecast V5 Streaming Stick,00:41:23,00:41:23,PL (Poland)
Pixar,2021-03-21 13:50:15,00:40:27,,Strzelec: Sezon 2: Pamiętaj o Alamo (Odcinek 2),,Google Chromecast V5 Streaming Stick,00:41:52,00:41:52,PL (Poland)
Pixar,2021-03-21 13:10:06,00:40:03,,Strzelec: Sezon 2: Polowanie (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:41:51,00:41:51,PL (Poland)
Pixar,2021-03-21 12:30:08,00:39:47,,Strzelec: Sezon 1: Spłonka (Odcinek 10),,Google Chromecast V5 Streaming Stick,00:41:49,00:41:49,PL (Poland)
Pixar,2021-03-21 11:53:09,00:36:50,,Strzelec: Sezon 1: Przewaga ogniowa (Odcinek 9),,Google Chromecast V5 Streaming Stick,00:38:54,00:38:54,PL (Poland)
Pixar,2021-03-21 03:50:56,00:00:04,,Strzelec: Sezon 1: Przewaga ogniowa (Odcinek 9),,Google Chromecast V5 Streaming Stick,00:02:04,Not latest view,PL (Poland)
Pixar,2021-03-21 03:11:30,00:39:19,,Strzelec: Sezon 1: Wróg kontra wróg (Odcinek 8),,Google Chromecast V5 Streaming Stick,00:40:29,00:40:29,PL (Poland)
Pixar,2021-03-21 02:30:40,00:40:28,,Strzelec: Sezon 1: Niebezpieczne zbliżenie (Odcinek 7),,Google Chromecast V5 Streaming Stick,00:41:24,00:41:24,PL (Poland)
Pixar,2021-03-21 01:49:28,00:41:05,,Strzelec: Sezon 1: Strefa śmierci (Odcinek 6),,Google Chromecast V5 Streaming Stick,00:41:51,00:41:51,PL (Poland)
Pixar,2021-03-21 01:08:55,00:40:25,,Strzelec: Sezon 1: Rozpoznanie walką (Odcinek 5),,Google Chromecast V5 Streaming Stick,00:41:23,00:41:23,PL (Poland)
Pixar,2021-03-21 00:27:33,00:40:59,,Strzelec: Sezon 1: Obserwacja (Odcinek 4),,Google Chromecast V5 Streaming Stick,00:41:51,00:41:51,PL (Poland)
Pixar,2021-03-20 23:46:55,00:40:30,,Strzelec: Sezon 1: Musa Qala (Odcinek 3),,Google Chromecast V5 Streaming Stick,00:41:30,00:41:30,PL (Poland)
Pixar,2021-03-20 23:05:57,00:40:48,,Strzelec: Sezon 1: Wyprowadzenie (Odcinek 2),,Google Chromecast V5 Streaming Stick,00:41:52,00:41:52,PL (Poland)
Pixar,2021-03-20 22:24:32,00:41:16,,Strzelec: Sezon 1: Punkt uderzenia (Odcinek 1),,Google Chromecast V5 Streaming Stick,00:41:16,00:41:16,PL (Poland)
Pixar,2021-03-20 22:23:37,00:00:40,,Strzelec: Sezon 1: Punkt uderzenia (Odcinek 1),,Apple iPhone X (GSM),00:00:41,Not latest view,PL (Poland)
Pixar,2021-03-14 23:28:47,00:54:23,,Szpital New Amsterdam: Sezon 2: Kwestia sekund (Odcinek 18),,Google Chromecast V5 Streaming Stick,00:54:23,Not latest view,PL (Poland)
Pixar,2021-03-14 22:46:12,00:42:28,,Szpital New Amsterdam: Sezon 2: Start (Odcinek 17),,Google Chromecast V5 Streaming Stick,00:42:28,Not latest view,PL (Poland)
Pixar,2021-03-14 22:03:43,00:42:21,,Szpital New Amsterdam: Sezon 2: Perspektywy (Odcinek 16),,Google Chromecast V5 Streaming Stick,00:42:21,00:42:21,PL (Poland)
Pixar,2021-03-14 21:23:26,00:40:09,,Szpital New Amsterdam: Sezon 2: Ślepa próba (Odcinek 15),,Google Chromecast V5 Streaming Stick,00:42:20,00:42:20,PL (Poland)
Pixar,2021-03-14 21:22:16,00:00:42,,Szpital New Amsterdam: Sezon 2: Ślepa próba (Odcinek 15),,Apple iPhone X (GSM),00:00:31,Not latest view,PL (Poland)
Pixar,2021-03-14 09:15:38,00:00:11,,Szpital New Amsterdam: Sezon 2: Ślepa próba (Odcinek 15),,Apple iPhone X (GSM),00:02:11,Not latest view,PL (Poland)
Pixar,2021-03-14 02:11:44,00:02:00,,Szpital New Amsterdam: Sezon 2: Ślepa próba (Odcinek 15),,Google Chromecast V5 Streaming Stick,00:02:00,Not latest view,PL (Poland)
Pixar,2021-03-14 01:29:40,00:41:56,,Szpital New Amsterdam: Sezon 2: Szabat (Odcinek 14),,Google Chromecast V5 Streaming Stick,00:41:56,00:41:56,PL (Poland)
Pixar,2021-03-14 00:47:17,00:42:16,,Szpital New Amsterdam: Sezon 2: Na cmentarzysku (Odcinek 13),,Google Chromecast V5 Streaming Stick,00:42:16,00:42:16,PL (Poland)
Pixar,2021-03-14 00:04:26,00:42:30,,"Szpital New Amsterdam: Sezon 2: 14 lat, 2 miesiące i 8 dni (Odcinek 12)",,Google Chromecast V5 Streaming Stick,00:42:30,00:42:30,PL (Poland)
